title,open_date,reserve_rate,sales_price
나혼자 프린스,2025-11-19,"49,946,350",6092
정보원,2025-12-03,"51,602,100",5635
윗집 사람들,2025-12-03,"55,529,300",4951
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,"99,525,000",3981
퍼스트 라이드,2025-10-29,"31,405,300",3603
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,"87,125,000",3485
세계의 주인,2025-10-22,"32,151,500",2991
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,"83,853,000",2541
통잠,2025-11-19,"12,446,100",2077
맨홀,2025-11-19,"14,959,000",1832
너와 나의 5분,2025-11-05,"9,246,500",1126
한란,2025-11-26,"7,735,500",865
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,"21,550,000",862
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,"4,276,500",468
힘,2025-11-27,"4,741,000",431
어쩔수가없다,2025-09-24,"4,827,600",378
구원자,2025-11-05,"2,323,500",302
헤어질 결심,2022-06-29,"3,377,000",284
마사이 크로스,2025-11-20,"2,774,700",255
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,"7,920,000",240
고양이를 부탁해,2001-10-12,"2,823,000",240
멀고도 가까운,2025-12-03,"1,962,000",218
달팽이 농구단,2025-11-12,"1,461,000",189
나비잠,2018-09-06,"2,329,000",181
지드래곤 인 시네마 [위버맨쉬],2025-10-29,"4,375,000",175
"거짓말, 뱀파이어가 어디 있어?",,"4,920,000",164
용한 소녀,,"1,759,500",164
바로 지금 여기,2025-09-17,"1,200,000",150
넌센스,2025-11-26,"1,935,000",146
지구의 주인은 고양이다,,"1,035,200",145
시민덕희,2024-01-24,"1,410,000",141
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,"3,392,200",139
콩나물,,"399,000",137
3670,2025-09-03,"1,321,000",134
만남의 집,2025-10-15,"1,400,000",130
바람이 전하는 말,2025-11-05,"1,565,000",127
전지적 독자 시점,2025-07-23,"1,736,000",124
로보카폴리 사막 구조대 이야기,,"824,500",109
고당도,2025-12-10,"1,298,800",108
나쁜 영화 감독판,,"866,000",87
날개는 베개 밑에 숨겨두었어,,"840,000",84
리코더 시험,,"243,000",81
지구를 지켜라,2003-04-04,"804,000",75
극장의 시간들,,"920,000",72
에스퍼의 빛,2025-11-05,"697,000",70
지금은맞고그때는틀리다,2015-09-24,"747,000",64
사람과 고기,2025-10-07,"598,700",63
마더,2009-05-28,"669,000",58
미망,2024-11-20,"554,000",57
제18회 스토리업쇼츠 섹션1. 남겨진 이들의 계절,,"512,000",56
마루는 강쥐,,"455,600",56
종이 울리는 순간,2025-11-12,"614,000",54
고갈 감독판,,"486,000",49
엄마를 버리러 갑니다,2025-11-05,"516,900",46
반짝반짝 달님이,,"290,500",40
다시 쓰는 희노애락,,"266,000",38
제18회 스토리업쇼츠 섹션2. 불협화음의 시대,,"312,000",34
양양,2025-10-22,"298,000",34
라리랑,2025-10-29,"448,000",32
나쁜계집애: 달려라 하니,2025-10-07,"306,000",29
썬더버드,2022-09-21,"270,000",27
최초의 기억,2025-11-12,"263,000",26
1980 사북,2025-10-29,"196,000",26
초콜릿,2025-11-19,"204,300",25
직지루트; 테라 인코그니타,2025-11-12,"190,000",19
샤샤 & 마일로,,"109,000",17
WDN 섹션 1: 경험의 가장자리,,"140,000",14
바얌섬,2025-10-29,"115,000",14
어쩌면 해피엔딩,2025-10-02,"98,500",14
브레드이발소: 베이커리타운의 악당들,2025-09-27,"100,300",13
하얀 차를 탄 여자,2025-10-29,"99,000",11
제27회 부산독립영화제 메이드 인 부산 4,,"76,000",10
제27회 부산독립영화제 메이드 인 부산 2,,"72,000",10
WDN 섹션 2: 기억과 장소의 가장자리,,"90,000",9
도돌이 언덕에 난기류,,"72,000",9
3학년 2학기,2025-09-03,"71,000",9
제27회 부산독립영화제 메이드 인 부산 3,,"70,000",9
산산조각 난 해,,"45,000",9
제97회 작은영화영화제 - 떠나도 함께,,"45,000",9
제27회 부산독립영화제 스펙트럼 부산-나우 2,,"60,000",8
보스,2025-10-03,"62,000",7
연의 편지,2025-10-01,"58,500",7
삼희 : The Adventure of 3 Joys,,"56,000",7
10월의 어느 멋진 날에,,"48,000",7
재민이,,"31,000",7
얼굴,2025-09-11,"57,400",6
부력,,"44,000",6
한 채,2024-11-20,"49,000",5
시네마 테러리스트,,"40,000",5
"그래도, 사랑해.",,"38,000",5
홍이,2025-09-24,"38,000",4
한국인을 관두는 법,,"32,000",4
일단발광,,"32,000",4
시련과 입문,,"28,000",4
제27회 부산독립영화제 스펙트럼 부산-나우 3,,"28,000",4
첫여름,,"16,000",4
손님,,"12,000",4
트랜스-컨티넨탈-레일웨이,,"24,000",3
옹기와 장인,,"20,000",3
여름이 지나가면,2025-07-09,"20,000",2
투 헤븐,2025-11-05,"20,000",2
망양 중복,,"16,000",2
제27회 부산독립영화제 스펙트럼 부산-리와인드,,"16,000",2
일과 날,2025-07-16,"16,000",2
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",,"16,000",2
생명의 은인,2025-11-05,"15,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원2,,"14,000",2
제27회 부산독립영화제 특별상영 1,,"14,000",2
이로 인해 그대는 죽지 않을 것이다,,"14,000",2
2025년 11월 수요단편극장,,"14,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원1,,"14,000",2
인디스데이 11월 단편,,"11,000",2
뼈,,"8,000",1
우리의 이름,,"7,000",1
